repository,file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,name,full_name,stars,language,created_at,updated_at,open_issues,html_url
BigData-Notes,0.0,0.0,0.0,440,492,52,440,380,94,0,741,63,12.94166684,-3.0,-3.0,218,63,192,11,3,12,210,0,0,0,101,50,1,99,0,1,49,0,81,2124,68,40,29,49,14,557,160,439,65,444,89,9,0,14,1897,59,0,BigData-Notes,heibaiying/BigData-Notes,16642,Java,2019-03-10T01:40:01Z,2025-09-10T16:32:31Z,37,https://github.com/heibaiying/BigData-Notes
COLA,0.0,0.0,0.0,2420,3835,1415,2420,2012,742,104,2109,2781,102.34195967,-103.0,-103.0,1557,184,1298,83,15,161,1477,27,1,0,794,139,102,639,23,30,128,0,374,9619,832,74,178,33,23,1035,580,1501,310,1706,176,9,21,105,10136,29382,117,COLA,alibaba/COLA,12644,Java,2018-02-06T13:46:27Z,2025-09-10T12:46:38Z,95,https://github.com/alibaba/COLA
CalendarView,0.0,0.0,0.0,1156,1695,539,1156,2721,380,57,2750,9360,55.16356872,-2.0,-2.0,1207,121,540,124,277,266,1084,37,127,0,551,74,0,327,62,162,63,0,739,11557,710,87,645,12,177,750,4974,2063,1618,1577,162,56,26,0,5858,17796,0,CalendarView,huanghaibin-dev/CalendarView,9310,Java,2017-03-11T07:16:09Z,2025-09-10T01:50:06Z,458,https://github.com/huanghaibin-dev/CalendarView
Calligraphy,0.0,0.0,0.0,143,180,37,143,236,36,0,203,284,7.33622305,0.0,0.0,114,36,66,11,14,23,104,0,0,0,46,12,2,42,2,0,28,0,59,968,102,3,54,16,14,30,49,133,4,97,20,5,4,0,1394,78,0,Calligraphy,chrisjenx/Calligraphy,8571,Java,2013-12-20T02:35:45Z,2025-09-09T07:21:17Z,94,https://github.com/chrisjenx/Calligraphy
Chat2DB,0.0,0.0,0.0,12720,16806,4086,12720,15274,2646,210,20194,34464,394.197415152,-790.0,-790.0,7188,990,5192,1136,66,794,6118,348,24,8,6250,1134,424,5688,32,106,1016,0,4164,70360,6582,1098,2036,702,264,19612,3266,11844,1896,15174,1526,36,66,780,75480,103666,770,Chat2DB,CodePhiliaX/Chat2DB,24221,Java,2023-06-20T14:05:26Z,2025-09-10T18:27:25Z,501,https://github.com/CodePhiliaX/Chat2DB
CircleImageView,0.0,0.0,0.0,33,34,1,33,75,7,0,73,536,0.9247102,0.0,0.0,39,0,29,7,3,0,32,0,0,0,28,8,0,28,0,0,14,0,7,360,26,0,15,1,9,5,30,62,36,44,3,0,1,0,156,4,0,CircleImageView,hdodenhof/CircleImageView,14536,Java,2014-01-17T16:44:46Z,2025-09-10T01:49:50Z,7,https://github.com/hdodenhof/CircleImageView
CoreNLP,0.0,0.0,0.0,25497,34272,8775,25497,103432,7103,542,65135,639631,1467.82044375,-203.0,-203.0,34564,6724,26629,4212,1362,2361,30707,242,726,78,16616,6620,4571,9046,933,2066,8411,0,29812,557599,32048,12265,19833,1572,12985,259316,57307,96629,22419,65558,6480,670,1520,835,294619,134843,3021,CoreNLP,stanfordnlp/CoreNLP,9969,Java,2013-06-27T21:13:49Z,2025-09-10T21:28:07Z,182,https://github.com/stanfordnlp/CoreNLP
CtCI-6th-Edition,0.0,0.0,0.0,1296,2284,988,1296,5496,651,17,3442,2730,77.562510756,-19.0,-19.0,2126,1255,2036,87,1,2,2039,6,0,3,508,62,171,292,20,25,14,0,1850,21093,1972,1070,1277,42,283,4730,5370,5387,2045,4290,917,0,25,15,11270,7894,0,CtCI-6th-Edition,careercup/CtCI-6th-Edition,11459,Java,2015-07-02T06:28:46Z,2025-09-03T14:40:39Z,143,https://github.com/careercup/CtCI-6th-Edition
DSA-Bootcamp-Java,0.0,0.0,0.0,642,1108,410,698,3244,548,28,1526,1772,53.52574896,-4.0,-4.0,1446,674,854,124,6,462,1324,8,0,0,270,28,0,96,10,164,16,0,616,13228,1082,510,800,16,186,556,3012,2944,1462,2060,486,0,26,10,5724,4594,0,DSA-Bootcamp-Java,kunal-kushwaha/DSA-Bootcamp-Java,20607,Java,2021-07-30T12:23:25Z,2025-09-10T21:24:30Z,608,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java
DanmakuFlameMaster,0.0,0.0,0.0,888,1382,494,888,2681,277,19,1637,8171,53.54872677,-8.0,-8.0,1202,65,959,119,43,81,1085,29,12,35,655,137,243,306,47,59,161,0,219,12879,735,49,719,45,121,171,903,1980,358,1226,218,38,56,0,6145,13604,0,DanmakuFlameMaster,bilibili/DanmakuFlameMaster,9603,Java,2013-08-11T12:18:50Z,2025-09-10T18:59:52Z,262,https://github.com/bilibili/DanmakuFlameMaster
