repository,file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,name,full_name,stars,language,created_at,updated_at,open_issues,html_url
awesome-leetcode-resources,0.0,0.0,0.0,13,19,6,13,88,11,0,47,52,0.6666667,-1.0,-1.0,28,0,24,2,0,2,26,0,0,0,7,0,0,0,0,7,0,0,16,360,28,40,19,0,0,1,56,132,28,104,14,0,1,3,179,8,0,awesome-leetcode-resources,ashishps1/awesome-leetcode-resources,12891,Java,2023-10-25T01:48:19Z,2025-09-10T22:55:18Z,10,https://github.com/ashishps1/awesome-leetcode-resources
awesome-low-level-design,0.0,0.0,0.0,2082,4089,1986,2103,3115,902,81,3227,2417,139.17715026,-54.0,-54.0,2398,125,2102,118,20,158,2282,19,1,61,1091,73,7,1044,31,9,764,0,380,14591,1092,115,292,37,60,1963,713,2167,505,2073,316,0,18,111,12377,34704,7,awesome-low-level-design,ashishps1/awesome-low-level-design,17828,Java,2023-11-17T10:15:12Z,2025-09-10T22:55:24Z,49,https://github.com/ashishps1/awesome-low-level-design
awesome-system-design-resources,0.0,0.0,0.0,18,34,16,18,140,22,0,184,0,3.8361112,0.0,0.0,74,14,66,8,0,0,66,0,0,10,66,0,0,66,0,0,30,0,50,672,40,28,4,4,32,88,110,198,72,172,30,0,0,2,462,22,0,awesome-system-design-resources,ashishps1/awesome-system-design-resources,25854,Java,2023-10-25T01:50:42Z,2025-09-10T21:41:37Z,5,https://github.com/ashishps1/awesome-system-design-resources
aws-doc-sdk-examples,0.0,0.0,0.0,11777,13500,1659,11841,11919,1740,18,32305,10351,313.429357336,-20.0,-20.0,5845,3109,4776,663,58,348,5190,7,1,5,2592,1616,249,2036,1,306,841,0,6239,81846,2742,980,1567,2254,339,17527,7175,19417,3969,20011,2335,23,110,1905,93564,6037,2724,aws-doc-sdk-examples,awsdocs/aws-doc-sdk-examples,10194,Java,2016-08-18T19:06:57Z,2025-09-10T20:46:52Z,148,https://github.com/awsdocs/aws-doc-sdk-examples
banner,0.0,0.0,0.0,444,601,157,444,565,134,13,602,3481,18.53014909,-2.0,-2.0,326,24,264,16,25,21,311,0,1,0,173,35,36,108,4,25,42,0,86,2724,156,5,110,4,50,78,339,392,180,335,59,6,11,7,2011,3178,0,banner,youth5201314/banner,13039,Java,2016-04-22T05:50:25Z,2025-09-10T12:28:04Z,44,https://github.com/youth5201314/banner
bazel,0.0,0.0,0.0,160478,212430,51830,160600,226506,34522,3780,263224,1447692,5306.006569632,-2130.0,-2130.0,134140,14742,95236,19396,4560,14948,115056,2824,2252,1002,45310,11956,9586,31762,1182,2780,31900,0,58314,1174608,75946,12934,27038,8082,7928,294476,59080,185378,28552,174336,16914,2470,7780,11774,1223930,1317694,1518,bazel,bazelbuild/bazel,24535,Java,2014-06-12T16:00:38Z,2025-09-10T18:59:14Z,1803,https://github.com/bazelbuild/bazel
butterknife,0.0,0.0,0.0,2154,2646,492,2154,2504,672,28,2788,5702,82.45952786,-134.0,-134.0,1334,180,796,218,26,294,1116,2,2,2,736,212,40,378,0,318,434,0,702,15424,660,184,360,110,48,9718,1564,3174,650,3062,160,24,252,88,11410,8414,0,butterknife,JakeWharton/butterknife,25488,Java,2013-03-05T08:18:59Z,2025-09-10T21:00:47Z,119,https://github.com/JakeWharton/butterknife
bytecode-viewer,0.0,0.0,0.0,1961,3178,1217,1961,5025,850,77,5127,5667,96.502217065,-14.0,-14.0,1737,375,1374,226,58,79,1521,16,19,17,1080,321,490,524,39,27,676,0,1802,21761,1201,424,903,343,453,4506,2025,4162,976,3684,770,67,41,322,16862,12845,0,bytecode-viewer,Konloch/bytecode-viewer,15205,Java,2014-10-14T10:26:46Z,2025-09-10T11:08:32Z,99,https://github.com/Konloch/bytecode-viewer
caffeine,0.0,0.0,0.0,6561,9140,2579,6561,14820,2121,151,17982,217994,290.956858695,-107.0,-107.0,8820,872,6162,887,217,1554,7949,60,44,6,2482,586,106,1029,61,1286,1533,0,12039,85095,3918,1254,2061,445,1671,8180,12343,12708,2180,14960,910,305,475,2994,51414,84715,9,caffeine,ben-manes/caffeine,17018,Java,2014-12-13T08:45:11Z,2025-09-10T17:39:35Z,3,https://github.com/ben-manes/caffeine
canal,0.0,0.0,0.0,12198,17180,4982,12198,37982,2896,308,30958,162294,731.100640392,-120.0,-120.0,17110,2050,14106,1592,428,984,15614,22,874,90,7882,2816,1832,5430,490,130,3016,0,6632,225180,13092,1950,7136,1874,4836,15676,18476,33294,7166,23660,3056,204,504,584,86996,68508,1652,canal,alibaba/canal,29363,Java,2013-01-13T10:59:52Z,2025-09-10T18:44:57Z,1232,https://github.com/alibaba/canal
cas,0.0,0.0,0.0,83055,96763,13708,83055,32547,13454,2248,100729,70213,1805.715699323,-1772.0,-1772.0,22944,2196,10592,1629,2578,8145,21385,94,31,1,15324,3160,399,12410,1220,1295,6823,0,14875,228308,15291,380,2527,1346,343,45602,6373,45354,1899,55178,4037,308,1791,6998,360816,390695,5075,cas,apereo/cas,11193,Java,2011-09-09T01:36:42Z,2025-09-10T14:00:43Z,3,https://github.com/apereo/cas
cassandra,0.0,0.0,0.0,86339,113357,27018,86339,147162,22391,2649,175416,748405,3329.050632246,-641.0,-641.0,78619,13239,55519,10650,3769,8681,68498,1163,445,575,27909,9492,6665,14614,1469,5161,20081,0,71925,743796,51545,14017,20422,6102,8007,120206,136744,125045,28672,115090,13370,1864,4868,13133,613087,775180,3666,cassandra,apache/cassandra,9358,Java,2009-05-21T02:10:09Z,2025-09-10T22:47:14Z,558,https://github.com/apache/cassandra
cat,0.0,0.0,0.0,20916,30960,9862,21098,37466,5428,302,41614,87168,1173.833490552,-198.0,-198.0,19420,768,14854,2558,1332,676,16872,154,10,70,8384,1674,1102,6862,338,82,1546,0,6096,196002,13260,3108,5596,1810,1586,16610,12144,33906,7332,29538,4700,412,754,0,103456,148826,294,cat,dianping/cat,18933,Java,2012-12-05T02:31:48Z,2025-09-10T18:37:40Z,213,https://github.com/dianping/cat
cim,0.0,0.0,0.0,986,1429,443,986,1020,259,18,1419,1159,30.757763626,-30.0,-30.0,677,69,511,63,13,90,615,4,0,2,344,63,27,308,1,8,93,0,235,5622,286,113,88,36,31,938,489,1149,219,1245,134,9,29,90,4986,5618,127,cim,crossoverJie/cim,9441,Java,2018-05-20T15:55:56Z,2025-09-10T18:44:59Z,41,https://github.com/crossoverJie/cim
clojure,0.0,0.0,0.0,3304,5541,2237,3304,11569,1371,189,5320,119569,121.180909922,-22.0,-22.0,4626,1195,3357,285,54,930,4351,20,148,14,1853,773,399,389,16,1049,1157,0,8343,46876,4898,762,2745,135,1604,1750,4148,11965,1664,5218,648,51,680,8,23733,32580,0,clojure,clojure/clojure,10712,Java,2010-06-29T20:03:33Z,2025-09-10T13:46:45Z,0,https://github.com/clojure/clojure
conductor,0.0,0.0,0.0,19554,27387,7815,19572,35976,3192,429,53016,229737,823.69214448,-165.0,-165.0,22737,594,18486,2106,696,1449,20763,156,63,24,7800,1632,402,6675,327,396,3360,0,8862,191493,13410,1515,4011,3000,783,36291,15840,35550,4176,34947,2061,189,330,3933,127233,129786,3618,conductor,conductor-oss/conductor,29012,Java,2023-12-08T06:06:09Z,2025-09-10T23:44:05Z,96,https://github.com/conductor-oss/conductor
conductor,0.0,0.0,0.0,19554,27387,7815,19572,35976,3192,429,53016,229737,823.69214448,-165.0,-165.0,22737,594,18486,2106,696,1449,20763,156,63,24,7800,1632,402,6675,327,396,3360,0,8862,191493,13410,1515,4011,3000,783,36291,15840,35550,4176,34947,2061,189,330,3933,127233,129786,3618,conductor,Netflix/conductor,12777,Java,2016-12-07T22:48:42Z,2025-09-10T12:58:23Z,164,https://github.com/Netflix/conductor
cryptomator,0.0,0.0,0.0,3684,4799,1115,3684,3315,633,13,5149,8201,126.2617306,-28.0,-28.0,2354,277,1383,358,55,558,2006,81,0,32,1596,315,196,1266,9,125,1296,0,865,17289,1341,38,287,189,53,1825,592,2568,248,2898,318,15,102,383,15647,27595,228,cryptomator,cryptomator/cryptomator,13588,Java,2014-02-02T00:43:47Z,2025-09-10T09:37:56Z,277,https://github.com/cryptomator/cryptomator
dataease,0.0,0.0,0.0,10874,13818,2944,10874,18966,2654,186,19706,61040,376.4117004,-1204.0,-1204.0,7686,938,5512,646,66,1462,7054,60,0,10,8984,1290,456,8422,44,62,1214,0,4494,85482,5256,1494,2000,820,600,17852,5280,17802,2820,21338,1244,114,102,872,57228,19540,442,dataease,dataease/dataease,21814,Java,2021-02-02T04:10:21Z,2025-09-10T22:56:38Z,83,https://github.com/dataease/dataease
debezium,0.0,0.0,0.0,23045,31180,8126,23054,38441,5349,479,50309,188111,1041.690780177,-203.0,-203.0,22664,2348,14695,2356,3049,2564,20339,355,23,42,8662,3652,1738,5941,496,487,6355,0,19153,210057,15277,1620,5062,2419,2186,60240,31138,37514,6495,35567,2951,199,636,3910,185713,275599,2260,debezium,debezium/debezium,11819,Java,2016-01-22T20:17:05Z,2025-09-10T15:03:21Z,84,https://github.com/debezium/debezium
deeplearning4j,0.0,0.0,0.0,47828,59192,11334,47858,146335,12414,1141,84336,310658498,1416.236973978,-373.0,-373.0,98427,6589,75242,2980,1457,18748,96148,335,146,178,11930,2429,1387,8053,2226,264,3769,0,20267,558237,48018,9751,15711,2316,5805,58693,137027,96300,17854,79425,5494,196,1309,597,310173,235675,1689,deeplearning4j,deeplearning4j/deeplearning4j,14097,Java,2013-11-27T02:03:28Z,2025-09-10T12:24:49Z,638,https://github.com/deeplearning4j/deeplearning4j
dex2jar,0.0,0.0,0.0,3100,5230,2130,3100,9010,897,139,5619,12067,114.171811646,-54.0,-54.0,2478,492,1788,338,158,194,2145,27,8,3,1099,197,432,255,72,340,368,0,3012,41715,2225,899,1995,132,959,4124,4972,6687,1358,4936,769,131,125,9,18647,30936,0,dex2jar,pxb1988/dex2jar,12898,Java,2015-03-16T09:13:07Z,2025-09-10T19:00:06Z,380,https://github.com/pxb1988/dex2jar
disruptor,0.0,0.0,0.0,1837,3032,1195,1837,2303,529,53,2255,10612,101.12363875,-57.0,-57.0,1632,116,1260,171,54,147,1497,5,16,0,909,179,50,715,34,110,621,0,552,13167,585,248,133,151,142,1057,1888,2423,539,3255,259,7,144,121,15574,14540,1,disruptor,LMAX-Exchange/disruptor,17978,Java,2012-09-21T13:42:24Z,2025-09-10T18:14:31Z,10,https://github.com/LMAX-Exchange/disruptor
druid,0.0,0.0,0.0,89160,111900,22740,89160,229356,34026,2367,196182,4034208,2612.337479619,-627.0,-627.0,106788,3027,86373,1770,7566,11079,105285,177,450,30,26142,3435,1923,16290,3696,4233,5328,0,16179,1019475,62571,9669,49413,6504,8817,237474,75030,169683,36060,144000,11508,1011,936,234,646494,211665,1254,druid,alibaba/druid,28194,Java,2011-11-03T05:12:51Z,2025-09-10T17:41:31Z,2289,https://github.com/alibaba/druid
druid,0.0,0.0,0.0,89160,111900,22740,89160,229356,34026,2367,196182,4034208,2612.337479619,-627.0,-627.0,106788,3027,86373,1770,7566,11079,105285,177,450,30,26142,3435,1923,16290,3696,4233,5328,0,16179,1019475,62571,9669,49413,6504,8817,237474,75030,169683,36060,144000,11508,1011,936,234,646494,211665,1254,druid,apache/druid,13824,Java,2012-10-23T19:08:07Z,2025-09-10T20:42:00Z,746,https://github.com/apache/druid
dubbo,0.0,0.0,0.0,26523,37335,10792,26543,53086,6309,525,57414,226004,1239.533933379,-320.0,-320.0,29955,3001,19391,2474,1593,6497,27599,177,269,157,10709,2721,1095,7467,451,1696,4586,0,11095,250763,20275,2644,8127,2267,2208,32818,15052,42127,6118,37058,4231,368,652,2172,165210,205993,1756,dubbo,apache/dubbo,41325,Java,2012-06-19T07:56:02Z,2025-09-10T20:34:14Z,919,https://github.com/apache/dubbo
easyexcel,0.0,0.0,0.0,7428,11570,4142,7428,8588,1540,152,10892,35868,253.235248186,-260.0,-260.0,4616,594,3596,614,126,280,4034,10,2,0,2880,906,212,2598,2,68,704,0,2526,41090,2796,460,1844,252,224,4928,4026,6670,1064,6980,764,44,46,90,39996,46672,688,easyexcel,alibaba/easyexcel,33617,Java,2018-02-06T03:14:08Z,2025-09-10T13:27:35Z,570,https://github.com/alibaba/easyexcel
easypermissions,0.0,0.0,0.0,295,364,69,295,347,49,0,349,403,15.7844571,0.0,0.0,248,20,207,21,6,14,227,5,0,2,131,40,8,116,0,7,59,0,101,1705,95,9,26,5,13,68,68,262,16,220,28,3,4,3,1571,2117,0,easypermissions,googlesamples/easypermissions,9917,Java,2015-12-22T18:05:53Z,2025-09-10T21:00:51Z,40,https://github.com/googlesamples/easypermissions
eladmin,0.0,0.0,0.0,4520,6122,1602,4520,3502,656,52,4936,3498,118.98889694,-168.0,-168.0,1916,248,1314,134,6,462,1792,0,0,4,1408,132,46,1338,0,24,444,0,996,16126,1266,240,384,188,68,4550,582,2456,576,3508,370,18,14,112,15070,616,230,eladmin,elunez/eladmin,21778,Java,2018-12-14T08:54:24Z,2025-09-10T18:29:30Z,6,https://github.com/elunez/eladmin
eureka,0.0,0.0,0.0,4366,6816,2450,4366,6249,943,74,7641,13781,167.715769916,-44.0,-44.0,3539,338,2549,362,165,463,3185,14,6,35,1757,617,157,1311,126,163,1249,0,1533,32879,2272,369,1165,289,242,3368,1770,5257,922,4589,624,179,158,43,32029,22364,471,eureka,Netflix/eureka,12620,Java,2012-07-26T22:23:07Z,2025-09-10T11:54:22Z,134,https://github.com/Netflix/eureka
fastjson,0.0,0.0,0.0,23440,27708,4268,23440,68366,19036,214,39828,1595938,1517.4949631,-2794.0,-2794.0,42878,1260,40882,616,732,648,42354,82,416,0,32460,1514,17452,13128,350,1530,1774,0,7432,412992,21224,3178,11418,2076,4710,38732,31144,69766,9190,70326,3172,1038,5384,0,203504,156960,20,fastjson,alibaba/fastjson,25755,Java,2011-11-03T06:58:52Z,2025-09-10T17:39:27Z,2112,https://github.com/alibaba/fastjson
feign,0.0,0.0,0.0,6404,8707,2294,6413,6467,2098,128,9351,16543,168.967319045,-198.0,-198.0,4577,270,1770,325,297,2185,4259,57,17,8,1159,152,102,798,38,221,629,0,3273,37446,2196,219,693,232,213,7641,1767,5292,776,5345,586,109,679,553,31330,32815,4,feign,OpenFeign/feign,9734,Java,2013-06-26T23:28:16Z,2025-09-10T21:02:01Z,262,https://github.com/OpenFeign/feign
flink-learning,0.0,0.0,0.0,2534,3150,616,2534,2407,669,21,4968,1954,103.740658346,-91.0,-91.0,1362,387,1103,149,24,86,1217,4,0,1,1070,461,328,682,18,42,608,0,871,14454,813,157,280,107,56,3006,916,2504,467,2599,371,156,44,134,18086,8907,194,flink-learning,zhisheng17/flink-learning,14923,Java,2019-01-01T07:38:28Z,2025-09-10T01:58:50Z,1,https://github.com/zhisheng17/flink-learning
fresco,0.0,0.0,0.0,7013,9220,2197,7023,9667,1496,84,9617,30344,285.706842515,-42.0,-42.0,6174,696,4436,968,326,444,5214,40,3,249,2777,617,455,2072,70,180,1437,0,2125,50440,3107,289,1407,231,345,1569,7451,7273,973,6135,713,250,211,47,46215,33689,3,fresco,facebook/fresco,17138,Java,2015-03-02T09:58:04Z,2025-09-10T22:48:17Z,251,https://github.com/facebook/fresco
glide,0.0,0.0,0.0,18186,23892,5652,18240,22516,3764,70,22256,60576,675.4155819279999,-150.0,-150.0,15410,1260,11344,1842,248,1976,13584,42,152,336,6086,1460,314,4956,88,728,3664,0,5636,122052,6984,974,2592,770,716,8720,12158,18828,3344,16272,1676,804,858,174,116008,74738,28,glide,bumptech/glide,34951,Java,2013-07-08T22:52:33Z,2025-09-10T18:04:31Z,605,https://github.com/bumptech/glide
glide-transformations,0.0,0.0,0.0,150,194,44,150,216,58,20,213,75,12.27925718,-2.0,-2.0,147,3,118,17,11,1,131,4,1,0,73,44,0,73,0,0,69,0,18,991,79,7,34,2,72,68,188,291,228,174,10,0,2,0,1375,1067,0,glide-transformations,wasabeef/glide-transformations,9929,Java,2015-01-09T10:33:29Z,2025-09-10T21:00:49Z,56,https://github.com/wasabeef/glide-transformations
greenDAO,0.0,0.0,0.0,1827,3092,1265,1827,3939,765,45,3361,17273,106.597597886,-31.0,-31.0,2510,137,2025,99,277,109,2412,16,102,16,806,176,164,521,48,73,380,0,346,18545,1228,207,646,130,128,1572,2094,3139,845,2627,249,76,61,8,12671,21197,0,greenDAO,greenrobot/greenDAO,12628,Java,2011-10-22T16:15:14Z,2025-09-10T21:00:47Z,236,https://github.com/greenrobot/greenDAO
grpc-java,0.0,0.0,0.0,30789,38713,7818,30895,36087,7673,314,49344,74066,1062.64390129,-340.0,-340.0,23198,2382,16209,2862,1088,3039,20362,572,385,207,10373,2536,774,8067,119,1413,6645,0,13788,257827,10960,1662,4604,1769,1109,26791,22730,38305,4229,33679,3125,1828,2144,879,201176,348210,159,grpc-java,grpc/grpc-java,11837,Java,2014-12-08T19:00:00Z,2025-09-10T18:32:32Z,517,https://github.com/grpc/grpc-java
gson,0.0,0.0,0.0,6508,9948,3440,6508,10378,2758,20,10470,44328,204.500345336,-782.0,-782.0,6520,506,5322,664,20,514,5872,44,74,0,2098,484,270,952,2,874,1076,0,3566,68898,2800,522,1508,212,420,12064,4746,12732,1632,11414,696,736,924,1190,53140,43106,0,gson,google/gson,24025,Java,2015-03-19T18:21:20Z,2025-09-10T23:43:01Z,324,https://github.com/google/gson
guava,0.0,0.0,0.0,77952,110088,25149,84939,129933,34746,2088,126213,927513,2470.006061838,-3315.0,-3315.0,90102,11967,61797,7377,5253,15675,82881,1578,2229,102,15711,6204,1284,9000,93,5334,11619,0,56775,762621,51045,11850,10527,4158,6270,71100,183693,90627,16062,81714,9225,7914,6456,8589,610542,1378287,3,guava,google/guava,51091,Java,2014-05-29T16:23:17Z,2025-09-10T21:19:22Z,719,https://github.com/google/guava
guice,0.0,0.0,0.0,14757,21811,7054,14757,11940,5060,318,16110,32803,305.816518067,-879.0,-879.0,8408,707,4552,641,1332,1883,7777,61,145,9,2275,454,64,1371,48,792,1296,0,6298,84679,3904,495,1092,721,393,7499,2428,8731,858,8061,836,1826,1476,236,64303,71180,8,guice,google/guice,12673,Java,2014-05-28T23:18:53Z,2025-09-10T17:39:44Z,357,https://github.com/google/guice
halo,0.0,0.0,0.0,35940,44823,8877,35946,23037,6018,399,68652,32526,1044.907716222,-846.0,-846.0,16587,1518,6963,2154,306,7164,14442,15,3,15,9516,1125,747,6924,75,1770,4329,0,9147,156858,12063,432,1986,627,276,33078,5343,23823,1554,34731,2733,141,1197,8526,157410,73812,738,halo,halo-dev/halo,36863,Java,2018-03-21T12:56:52Z,2025-09-10T18:29:22Z,299,https://github.com/halo-dev/halo
hello-algo,0.0,0.0,0.0,1209,1836,627,1209,5643,645,0,4227,3036,44.85279288,0.0,0.0,2379,1482,1416,138,0,825,2241,0,0,0,339,36,54,162,0,123,18,0,1338,23121,1764,1416,1020,0,180,2616,8454,6687,3780,4749,924,0,0,18,10488,504,0,hello-algo,krahets/hello-algo,116412,Java,2022-11-04T11:08:34Z,2025-09-10T19:13:22Z,31,https://github.com/krahets/hello-algo
hello-algorithm,0.0,0.0,0.0,6,58,8,50,52,6,0,6,0,0.0,-2.0,-2.0,8,0,4,4,0,0,4,0,0,0,6,0,0,2,0,4,0,0,0,122,14,6,20,0,6,0,16,24,4,20,6,0,0,0,66,2,0,hello-algorithm,geekxh/hello-algorithm,35770,Java,2020-05-29T05:47:09Z,2025-09-10T19:07:21Z,12,https://github.com/geekxh/hello-algorithm
hutool,0.0,0.0,0.0,18649,28067,9418,18649,61616,6781,360,52178,542639,1354.978893452,-696.0,-696.0,35821,11541,31375,1695,538,2213,34250,106,242,118,9033,3150,1130,6363,632,908,5085,0,23607,262778,27955,3185,8865,2194,3799,38601,35836,45667,7688,38247,3957,387,943,1814,152650,129511,285,hutool,chinabugotech/hutool,30062,Java,2014-04-13T07:23:51Z,2025-09-10T18:14:21Z,8,https://github.com/chinabugotech/hutool
incubator-seata,0.0,0.0,0.0,47872,62846,14926,47920,170224,13258,958,73594,3801032,1723.984414652,-358.0,-358.0,53334,2920,42552,2202,1202,7378,51296,106,682,18,12500,4668,1336,8534,600,2030,4890,0,12290,467978,31564,2586,10688,3222,118106,68254,156226,62320,109816,53060,6076,588,1872,3132,258762,214544,2326,incubator-seata,apache/incubator-seata,25797,Java,2018-12-28T08:37:22Z,2025-09-10T10:02:40Z,873,https://github.com/apache/incubator-seata
interview,0.0,0.0,0.0,1343,2185,842,1343,6214,692,2,3417,2274,40.59530261,-38.0,-38.0,1850,450,1345,407,1,97,1443,0,0,2,383,25,3,143,0,237,22,0,446,27259,1861,1485,1634,12,454,1016,9670,8198,3491,5198,1239,0,72,77,22338,744,0,interview,mission-peace/interview,11209,Java,2014-07-20T21:27:31Z,2025-09-10T13:07:10Z,175,https://github.com/mission-peace/interview
interviews,0.0,0.0,0.0,921,1455,258,1197,4587,774,0,2505,225,16.40000007,-12.0,-12.0,1095,246,936,51,0,108,1044,0,0,0,198,45,48,42,0,108,33,0,426,16863,1407,1221,1440,6,306,741,4437,4626,2157,3261,1512,12,9,0,10722,609,0,interviews,kdn251/interviews,64451,Java,2017-02-14T18:19:25Z,2025-09-10T19:12:25Z,116,https://github.com/kdn251/interviews
jadx,0.0,0.0,0.0,38556,58932,20376,38556,85293,14418,1320,92550,278652,1893.198036033,-690.0,-690.0,40149,6063,29061,7881,567,2640,32364,168,78,237,14589,5124,2556,10860,699,474,9747,0,23874,384915,34737,5844,15228,2145,2868,36231,30639,56442,8250,51831,6864,681,2700,3819,226326,231291,2142,jadx,skylot/jadx,45425,Java,2013-03-18T17:08:21Z,2025-09-10T23:19:48Z,399,https://github.com/skylot/jadx
java-design-patterns,0.0,0.0,0.0,19110,29388,10239,19149,18675,6804,438,28260,10458,688.420802832,-405.0,-405.0,14157,1290,6837,1086,420,5814,13098,225,102,72,5682,1365,339,4863,99,381,3204,0,4584,106452,4116,933,918,1050,315,14886,11610,19023,2109,19371,2100,90,312,1971,186927,244146,3528,java-design-patterns,iluwatar/java-design-patterns,92630,Java,2014-08-09T16:45:18Z,2025-09-10T23:13:13Z,163,https://github.com/iluwatar/java-design-patterns
java8-tutorial,0.0,0.0,0.0,91,137,46,91,273,88,0,740,344,7.42777788,-1.0,-1.0,216,179,97,99,1,19,117,0,0,1,37,18,3,21,0,13,7,0,332,2081,73,9,7,38,1,426,277,382,92,555,53,3,17,184,1427,166,0,java8-tutorial,winterbe/java8-tutorial,16779,Java,2014-03-16T17:25:43Z,2025-09-10T18:34:57Z,19,https://github.com/winterbe/java8-tutorial
javapoet,0.0,0.0,0.0,447,694,247,447,1467,114,7,1666,12800,26.73218586,-28.0,-28.0,857,93,697,70,17,73,787,5,6,1,214,32,95,104,0,15,184,0,1531,7543,492,100,182,97,43,3786,256,1137,253,993,81,12,48,7,4573,7133,0,javapoet,square/javapoet,10871,Java,2013-02-01T16:56:30Z,2025-09-10T12:02:36Z,143,https://github.com/square/javapoet
jd-gui,0.0,0.0,0.0,1847,2923,1076,1847,3623,984,110,4275,4524,98.505934582,-4.0,-4.0,1596,91,1230,13,204,149,1592,3,3,0,693,198,46,20,592,35,196,0,976,19309,970,297,804,147,459,1517,1144,3040,558,2576,541,66,119,123,11794,14440,0,jd-gui,java-decompiler/jd-gui,14729,Java,2015-03-25T05:28:41Z,2025-09-10T21:12:35Z,241,https://github.com/java-decompiler/jd-gui
jedis,0.0,0.0,0.0,6762,9978,3216,6762,18680,1734,246,18942,647584,290.584349545,-41.0,-41.0,15106,454,12017,434,210,2445,14708,37,1078,15,2578,802,373,1624,317,264,1554,0,4391,109769,6936,687,1242,1011,344,31700,21951,23180,1402,21615,918,286,116,608,59510,58040,198,jedis,redis/jedis,12149,Java,2010-06-11T13:04:43Z,2025-09-10T12:45:08Z,139,https://github.com/redis/jedis
jenkins,0.0,0.0,0.0,51258,63096,11682,51414,66352,15580,1814,82128,379832,1811.31589109,-602.0,-602.0,39212,3706,23078,3796,2522,9816,35554,730,574,634,10588,3372,2010,7440,248,890,5866,0,15192,373234,25828,4204,9152,3844,1826,66708,16952,51788,9174,46614,6614,1068,3550,2472,376124,824590,248,jenkins,jenkinsci/jenkins,24410,Java,2010-11-22T21:21:23Z,2025-09-10T21:59:18Z,88,https://github.com/jenkinsci/jenkins
jib,0.0,0.0,0.0,4972,7628,2646,4982,6194,860,22,11464,12018,213.863637609,-69.0,-69.0,4249,487,3227,501,15,506,3749,1,0,2,1918,421,215,1655,3,45,1143,0,5812,35271,2175,198,546,533,111,12084,1820,6435,976,6980,548,14,126,572,38225,4528,193,jib,GoogleContainerTools/jib,14012,Java,2018-01-22T18:30:43Z,2025-09-10T10:29:52Z,231,https://github.com/GoogleContainerTools/jib
jjwt,0.0,0.0,0.0,3121,5533,2412,3121,3995,1107,71,3467,14338,126.707278955,-43.0,-43.0,2390,424,1461,198,209,522,2203,23,36,5,854,475,138,504,48,164,754,0,1778,16052,1829,151,511,107,231,1981,1044,2796,562,2406,265,78,69,0,27856,39920,0,jjwt,jwtk/jjwt,10843,Java,2014-09-13T01:06:24Z,2025-09-10T21:00:48Z,41,https://github.com/jwtk/jjwt
jmeter,0.0,0.0,0.0,9445,13484,4039,9445,25329,3436,441,31071,106780,781.147312746,-80.0,-80.0,13610,1643,9815,2246,738,811,11510,85,228,101,7564,4100,846,6291,235,192,5205,0,6425,127364,7290,1354,3267,1203,976,21325,9371,24759,3075,20404,2160,79,245,463,115030,90313,2191,jmeter,apache/jmeter,8988,Java,2010-05-26T23:38:07Z,2025-09-10T14:16:38Z,949,https://github.com/apache/jmeter
jna,0.0,0.0,0.0,11528,16496,4968,11528,15481,5990,1575,12539,106278,586.535163039,-587.0,-587.0,8719,956,5967,405,463,1884,8427,13,117,31,15991,3854,7293,914,26,7758,3914,0,9924,106804,3352,811,2479,761,1131,11092,21473,24677,3202,24587,1007,284,1508,3,117460,78460,11,jna,java-native-access/jna,8798,Java,2011-04-29T13:30:29Z,2025-09-10T18:59:44Z,112,https://github.com/java-native-access/jna
jsoup,0.0,0.0,0.0,2573,4279,1706,2573,7112,737,134,6915,97954,83.36789928,-9.0,-9.0,3779,389,2293,241,106,1139,3557,29,40,1,657,309,78,338,7,234,409,0,4096,38014,2098,468,827,152,214,10362,2691,7512,558,6755,487,113,125,168,28411,19376,186,jsoup,jhy/jsoup,11243,Java,2009-12-19T01:29:58Z,2025-09-08T15:28:12Z,4,https://github.com/jhy/jsoup
jvm,0.0,0.0,0.0,0,0,0,0,1,1,0,1,0,0.0,0.0,0.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,jvm,doocs/jvm,10969,Java,2018-06-23T01:12:59Z,2025-09-10T18:12:36Z,12,https://github.com/doocs/jvm
